timestamp,screen_x,screen_y
1769377938.2916174,661,168
1769377938.3339846,843,243
1769377938.360358,922,310
1769377938.3871706,953,319
1769377938.4153686,992,380
1769377938.4424124,1029,408
1769377938.4787374,1039,371
1769377938.5052166,1038,347
1769377938.5427532,1067,354
1769377938.605362,1074,342
1769377938.6325045,1077,327
1769377938.6723018,1076,309
1769377938.6988268,1068,291
1769377938.736751,1061,296
1769377938.7630134,1064,303
1769377938.8149388,1103,302
1769377938.8433836,1117,300
1769377938.8733737,1125,287
1769377938.9153638,1123,266
1769377938.9437153,1119,233
1769377938.9700413,1110,219
1769377939.0076017,1104,231
1769377939.0336611,1097,240
1769377939.0705955,1100,255
1769377939.0983057,1106,265
1769377939.1353855,1107,290
1769377939.1620889,1109,318
1769377939.2370946,1113,362
1769377939.2670915,1119,394
1769377939.2970974,1113,415
1769377939.328097,1094,431
1769377939.3980944,1077,436
1769377939.4250998,1068,450
1769377939.4560926,1081,482
1769377939.485096,1072,511
1769377939.5150938,1064,521
1769377939.629095,1061,530
1769377939.6570911,1067,533
1769377939.691094,1051,524
1769377939.7210903,1029,537
1769377939.8390934,1027,549
1769377939.9220955,1028,557
1769377939.9510953,1040,542
1769377939.9800918,1035,529
1769377940.009099,1029,516
1769377940.0890934,1042,531
1769377940.1610925,1032,534
1769377940.1890976,1009,531
1769377940.2210937,998,519
1769377940.2500918,1001,508
1769377940.3570921,996,503
1769377940.4010954,991,501
1769377940.4300945,988,518
1769377940.4820938,972,528
1769377940.53609,965,524
1769377940.565092,946,514
1769377940.5941007,940,510
1769377940.62209,913,492
1769377940.6530914,912,467
1769377940.6910934,904,470
1769377940.7240992,884,466
1769377940.7542272,885,479
1769377940.7862263,895,499
1769377940.8172271,873,499
1769377940.8472261,856,497
1769377940.884226,864,503
1769377940.9132276,871,518
1769377940.9472287,861,504
1769377940.9742296,855,488
1769377941.00923,865,518
1769377941.0555096,878,539
1769377941.0863068,866,525
1769377941.1193085,866,533
1769377941.1503074,864,565
1769377941.1783054,871,566
1769377941.2056246,873,557
1769377941.2328281,866,552
1769377941.2600272,864,532
1769377941.2863457,877,530
1769377941.3393435,880,529
1769377941.3657272,864,520
1769377941.406187,856,504
1769377941.4319263,862,506
1769377941.4698064,872,511
1769377941.4961858,871,482
1769377941.5330796,868,450
1769377941.5574818,875,460
1769377941.5971525,893,464
1769377941.623149,909,436
1769377941.6614008,914,423
1769377941.687398,919,422
1769377941.741653,932,418
1769377941.768065,937,419
1769377941.8076153,933,413
1769377941.835904,941,402
1769377941.8711104,959,399
1769377941.8995354,963,399
1769377941.9341614,973,403
1769377941.9599426,976,398
1769377941.9973476,976,386
1769377942.022579,974,395
1769377942.060089,964,389
1769377942.0863678,944,381
1769377942.1410873,939,383
1769377942.167492,946,380
1769377942.207926,947,378
1769377942.235819,947,370
1769377942.2712002,948,365
1769377942.2969058,954,377
1769377942.3339987,957,392
1769377942.3610985,949,387
1769377942.3982358,949,390
1769377942.4265678,939,378
1769377942.4632053,945,373
1769377942.488819,949,369
1769377942.5276358,958,358
1769377942.5562468,969,352
1769377942.6088827,975,349
1769377942.6373732,968,353
1769377942.673923,955,343
1769377942.7033322,951,337
1769377942.7353358,904,314
1769377942.7622197,859,286
1769377942.797983,805,274
1769377942.824891,754,266
1769377942.8600686,706,250
1769377942.8865345,655,220
1769377942.92636,606,215
1769377942.9507885,552,206
1769377943.004035,500,201
1769377943.0304456,451,188
1769377943.0712187,395,191
1769377943.0980797,345,198
1769377943.1350775,288,192
1769377943.1625636,236,199
1769377943.1982577,181,195
1769377943.2263653,176,211
1769377943.2614377,164,229
1769377943.2871356,166,229
1769377943.328206,159,216
1769377943.3575199,154,223
1769377943.4070654,163,248
1769377943.4328942,167,262
1769377943.4729993,159,274
1769377943.502014,155,277
1769377943.5342376,144,275
1769377943.5623212,140,264
1769377943.5972245,137,243
1769377943.6249285,126,235
1769377943.660547,127,227
1769377943.6883888,125,233
1769377943.726374,111,236
1769377943.7530632,115,240
1769377943.7908766,121,238
1769377943.8176303,134,246
1769377943.869431,141,252
1769377943.8975127,133,235
1769377943.9331439,125,214
1769377943.960017,125,205
1769377943.9975505,116,193
1769377944.025362,106,186
1769377944.0607476,110,199
1769377944.0901625,124,242
1769377944.126913,154,303
1769377944.1565204,164,369
1769377944.1920097,200,422
1769377944.2185802,237,467
1769377944.268511,248,527
1769377944.2949574,255,592
1769377944.333207,289,622
1769377944.3600864,322,653
